WTT,PTI,EQW,SBI,LQE,QWG,FDJ,PJF,HQE,NXJ,TARGET CLASS
0.913917327,1.162072708,0.567945854,0.755463896,0.780861572,0.352607723,0.759696914,0.643797564,0.879422091,1.231409437,1
0.635631904,1.003721629,0.535342352,0.825644846,0.924108929,0.648450237,0.675334312,1.013545992,0.621552215,1.492701605,0
0.721359808,1.201492624,0.921989733,0.855594983,1.526629388,0.720780887,1.626350711,1.154483147,0.957877023,1.285596793,0
1.234204402,1.386726291,0.653046306,0.825624445,1.14250354,0.875127921,1.40970806,1.380002546,1.522692046,1.153093025,1
1.279490824,0.949749557,0.627280041,0.668976082,1.232537304,0.703727439,1.115595503,0.646690698,1.463811751,1.419166577,1
0.833927808,1.523302293,1.104742672,1.021138958,1.107377119,1.010929535,1.279537539,1.280676561,0.510350261,1.528043672,0
0.944705325,1.251761353,1.074885123,0.286472998,0.996439536,0.428860233,0.910804981,0.755304749,1.111800321,1.110842305,0
0.816173851,1.088392442,0.895343276,0.243859572,0.943122744,1.045131278,1.146535991,1.3418855,1.22532404,1.425784074,0
0.776550645,1.463812292,0.78382476,0.337277988,0.742215158,1.072756126,0.880299839,1.312950717,1.118165161,1.225921622,0
0.772280098,0.515111403,0.891595882,0.940861582,1.430568318,0.88587629,1.205231321,0.596857714,1.542579617,0.98187949,1
1.284999004,1.331017747,0.618910313,0.657016786,1.037190904,0.717345569,0.778500551,0.599317361,1.245675868,1.441694553,1
1.064356245,1.414884526,0.896797615,0.629088045,1.447704295,0.791923269,0.921675559,1.237248899,0.564280969,1.423668265,0
0.682953045,1.254722718,0.998870422,0.397701396,1.011621496,0.567862656,1.335119923,1.093735064,0.847015278,1.374778584,0
0.953317952,1.318986846,0.56292118,0.905503014,1.248313546,0.677795128,1.01730492,0.528065124,1.541711667,1.118960028,1
0.801268465,0.93639002,0.696959602,0.972440083,0.851299207,1.443118644,1.194475872,1.641495685,1.11873719,1.426572806,0
1.061690969,1.04489172,0.599728913,0.465285103,0.930288221,0.974340771,1.213449903,1.247551245,1.217624809,1.623153936,1
0.715644738,1.378594131,0.997796713,0.674996058,1.228928248,1.223293384,0.589346138,1.559900001,0.845323955,1.248714271,0
0.899791593,1.225875202,1.330887213,0.335989409,1.273570387,1.1003606,1.019616601,1.223890889,1.113441354,1.490151372,0
0.883812952,1.275891227,0.924065502,0.668813584,1.269021129,1.382093434,0.728286179,0.726722915,0.975833245,1.653814616,0
0.768310815,1.394303781,0.823117528,0.612072237,1.267414188,0.881943472,1.104178154,1.660997781,0.74288539,1.09870422,0
1.25286383,1.66182033,0.922197598,0.875099789,1.41385185,1.330486486,0.897273042,1.280972007,0.736994289,1.192965507,0
0.612488328,1.338981278,1.072606228,0.799193056,0.722667112,1.139863389,0.952153265,1.74191894,1.021007203,1.199202608,0
0.66165168,0.603561179,0.884152629,0.484525266,0.832280555,1.094653904,1.156142264,1.351979106,0.843353363,1.489208361,0
1.277637962,0.925002893,0.170923628,1.057583266,0.995937643,0.934052503,0.877793712,1.02468393,1.393101053,1.228410698,1
1.109953078,1.363461048,0.647338965,0.368138161,1.340851234,1.088502315,1.071250325,1.132470742,0.794287473,1.378460336,0
0.576839388,1.319068808,1.115111683,1.131964825,1.512161342,0.954664227,1.10187974,1.027591584,1.253366532,1.590563146,0
0.855926841,0.859601756,0.834233609,0.90567481,1.187994758,1.398765876,0.907756092,0.866683457,1.720439947,1.428349518,1
0.912403497,0.935638706,0.527302957,0.669537887,0.979297085,0.769600349,0.534440186,0.69745212,0.985916381,1.541797615,1
0.677778469,1.040820453,0.655776565,0.479425068,1.119398975,1.226694622,0.971849067,1.087090326,0.36515661,1.167239487,0
1.393081224,1.193558829,0.76617037,0.961150246,1.225038347,1.129903937,0.634756639,0.509353298,1.380974605,1.406252006,1
1.372113751,1.12019248,0.470186848,0.961490985,0.977407507,0.890627009,1.285578138,0.903982785,1.362030113,1.57496726,1
0.814005289,0.59672579,0.388930609,0.62661783,0.663818766,0.984942845,0.778532197,0.840199985,0.812727504,0.741047737,1
1.605452048,0.549635455,0.606324191,0.771831954,1.120596182,1.148993141,1.151598426,0.680395664,1.244797083,0.958032482,1
1.064013435,1.365447601,1.036113886,0.72718356,1.094509476,1.039366807,0.733775207,1.159891231,1.6371194,1.523233739,1
1.22355168,1.003470684,0.498671344,0.569840386,0.986798405,0.924052704,0.86918662,0.840512101,1.579611703,1.359450072,1
0.455783049,1.054043024,1.202098043,0.736706682,1.365013924,1.231625311,0.802672937,1.133633192,0.914157868,1.582829436,0
0.429372005,1.085785608,0.766981665,0.678020772,1.298757858,0.937705049,0.986495665,1.222738215,0.649233596,1.493039233,0
0.980029074,1.44314365,0.795674985,0.515046926,0.749090894,0.813808092,0.929200109,0.700358757,1.491738767,1.303429318,1
1.29134888,0.857661454,1.022850871,0.473308554,1.26312788,0.971663149,1.039442874,0.74485853,1.678437067,1.141281647,1
0.342386134,1.0912994,0.891758924,0.564600325,0.591956808,1.164615593,1.103144859,1.330122662,0.903787638,1.188269014,0
1.051096096,0.569334889,0.554665513,0.488803504,1.183360482,0.619700465,0.966177483,0.747466204,1.22472062,1.2420881,1
0.683507719,1.606920618,0.916477176,1.098749624,0.807799284,0.886384437,0.849993562,0.976009158,1.09022587,1.65854737,0
1.271696703,0.931886955,0.773647388,0.521103999,1.086648905,1.20304099,1.102030807,0.920581583,1.186510219,1.735341636,1
0.754368305,0.859153183,0.845686848,0.872007323,0.635764049,1.263939709,1.47450266,1.510618937,0.659195051,1.274350297,0
1.042727863,1.023150571,1.400543493,0.836405244,0.600609495,1.102700826,1.087461515,1.565822848,0.600208221,1.390821358,0
0.9670538,1.007931874,0.883838232,0.357703071,0.843995086,0.360038175,0.757973942,1.065022229,1.024564017,1.274802053,0
0.66683427,1.241159028,1.177084201,0.681275266,1.0451617,0.942113761,0.985035924,1.28348664,0.900761875,1.775932632,0
1.035563114,1.303670009,0.973541894,0.855515817,1.114370537,0.672601699,1.399703729,1.002560913,1.749759729,1.206795871,1
0.811928502,1.405500226,0.94086352,0.673400802,1.219303935,1.233127979,1.152315204,1.420669245,1.148010884,1.604584065,0
1.105787822,0.683749776,0.19436574,0.749714652,1.008332744,1.266938555,1.046832119,0.994515445,1.320821578,1.025099318,1
0.876632791,1.251726285,1.073193717,0.869917127,1.050280736,1.507424036,0.711728126,1.70921443,0.966391922,1.227844129,0
1.515039096,0.90058099,0.613168731,0.667435451,1.164377067,0.879749308,0.733547202,0.56453035,1.220010787,1.337782881,1
1.072980825,1.084976684,0.5299723,0.401970529,1.016892188,0.720079806,1.083671757,0.832640381,1.516246584,1.169487681,1
1.287616542,1.143478575,0.536487209,0.669954733,0.777450133,0.844870492,0.646297264,0.776133401,1.486114942,1.296299535,1
1.672816756,0.88201313,0.583270534,0.743556447,0.805359221,0.844470811,1.119106523,0.698259964,1.182022114,1.305826983,1
1.049670702,0.955805232,1.192529966,0.963547125,0.88226369,1.218702735,0.793254207,1.785419625,1.138222207,1.465571831,0
0.992413678,1.251203203,0.37804664,0.534551709,0.929518534,0.845214515,0.993297534,1.501454845,0.829885115,1.154932766,0
1.165756305,1.241931888,1.186964799,0.438298842,0.741128828,0.539807227,0.761203634,1.128168536,1.111126868,1.446024721,1
1.403417258,1.158130205,0.579285337,0.690988014,1.247397834,0.691563495,0.817470012,1.02754803,1.268334624,1.526632502,1
0.605430098,0.615252263,0.811248442,0.879758494,0.878918339,1.005313991,0.986226279,0.784114326,1.509402095,1.570283053,1
1.068091886,0.981025704,1.060719473,0.536403846,0.476417418,1.044777151,1.525312776,1.273790532,0.765125035,1.306872109,0
0.380865095,1.175479159,1.151220688,0.569466186,1.198647059,0.940393454,0.935474766,1.235404428,1.365870185,1.375764069,0
1.046707245,0.71468839,0.767453326,0.814668939,0.76655361,1.000397872,1.456722505,1.505883087,1.309864196,1.461480033,0
0.627107887,1.302461065,1.012208093,0.928606532,1.414406004,1.001338335,1.172479722,1.481293651,0.733629127,1.510041479,0
1.421117292,1.333917072,0.837445349,0.456402341,1.051741998,0.940913603,0.826736119,0.841652294,1.305491681,1.484406042,1
